species,all_2003,mexico_2003,all_2002,mexico_2002
"Barracuda, California","114,051","16,677","209,895","16,191"
"Bass, barred sand","522,330","35,726","634,206","29,651"
"Bass, giant (black) sea",6,2,2,0
"Bass, kelp (calico)","273,459","10,122","235,252","2,025"
"Bass, striped","7,942",0,"6,621",0
"Bonito, Pacific","30,098","1,136","7,550","3,643"
Cabezon,"3,840",110,"2,042",41
"Croaker, unspecified***",867,0,518,0
"Croaker, white","3,457",28,"2,413",47
Dolphinfish,"3,211","3,137","2,707","2,409"
"Fishes, unspecified***","19,621","1,036","18,933",303
"Flatfishes, unspecified***","20,707",28,"30,281",2
"Greenling, kelp","5,207",0,886,0
Halfmoon,"43,392",47,"80,709",12
"Halibut, California","16,337",119,"15,454",154
"Invertebrates, unspecified****","49,386",79,"246,451",22
Lingcod,"44,131","6,025","37,451","3,612"
"Mackerel, jack",739,112,"1,014",114
"Mackerel, Pacific","44,597",206,"69,524",189
"Marlin, striped",4,4,3,1
"Rockfish, blue","133,332",94,"138,815",10
"Rockfish, gopher","40,418",65,"39,672",61
"Rockfishes, unspecified***","423,162","23,224","553,488","21,207"
"Salmon, king (chinook)","42,490",0,"74,872",1
"Salmon, unspecified***",102,1,460,1
Sanddab,"98,339",75,"124,706",12
"Scorpionfish, California","86,108","11,065","88,564","4,564"
"Seabass, white","8,530",123,"8,599",104
"Shark, blue",47,0,15,0
"Shark, bonito (mako)",113,34,213,24
"Shark, leopard",703,0,256,0
"Shark, unspecified***",396,0,"1,294",3
"Sheephead, California","20,768","1,134","27,385",681
"Sturgeon, unspecified***",436,0,207,0
"Tuna, albacore","249,418","193,593","318,425","193,372"
"Tuna, bluefin","22,334","19,475","33,445","20,139"
"Tuna, skipjack","32,249","21,889","2,968","1,113"
"Tuna, yellowfin","29,936","27,148","18,594","18,085"
Wahoo,"4,370","4,370","3,012","3,012"
"Whitefish, ocean","46,401","8,843","100,469","7,558"
Yellowtail,"77,509","52,981","71,377","46,545"
Total Landings:,"2,520,543","438,708","3,208,748","374,908"
Number of Anglers:,"560,604","80,234","637,028","68,049"
Reporting CPFVs:,319,100,311,76
