"year","filename","X","X.1","X.2","X.3","X.4","X.5","P..Hueneme","X.6","X.7","X.8","X.9","X.10","X.11","X.12"
2003,"landings03_cpfv2.pdf","S. Diego","Oceanside","",NA,"Seal Bch","Redondo","Oxnard/ Southern","",NA,"Monterey","Princeton","S.Fran","Fort Bragg","Northern"
2003,"landings03_cpfv2.pdf","TotalCommon Name Mission Bay ***","Dana Harbor","Newport Beach",NA,"Long Bch S. Pedro","Mr del Rey Malibu","Ventura S. Barbara Total","Avila Bch Morro Bay",NA,"Moss Land S. Cruz","Bodega Bay","S.F Bay- Delta","Eureka Cres City",""
2003,"landings03_cpfv2.pdf","Barracuda, California  28,082","5,838","17,012",NA,"49,745","5,065","8,296  114,038","0",NA,"5","0","7","0","12"
2003,"landings03_cpfv2.pdf","Bass, barred sand  100,025","68,745","92,530",NA,"182,474","52,140","26,336  522,250","0",NA,"0","0","0","0","0"
2003,"landings03_cpfv2.pdf","Bass, kelp (calico)  69,054","46,710","27,319",NA,"81,434","22,951","25,985  273,453","0",NA,"0","0","0","0","0"
2003,"landings03_cpfv2.pdf","Bass, striped  1","0","0",NA,"0","0","0  1","0",NA,"0","27","7,912","0","7,939"
2003,"landings03_cpfv2.pdf","Bonito, Pacific  11,618","4,442","3,138",NA,"8,597","2,213","90  30,098","0",NA,"0","0","0","0","0"
2003,"landings03_cpfv2.pdf","Cabezon  164","27","25",NA,"54","55","227  552","109",NA,"181","1,285","1,069","644","3,288"
2003,"landings03_cpfv2.pdf","Croaker, white  166","355","538",NA,"1,118","165","119  2,461","0",NA,"177","32","787","0","996"
2003,"landings03_cpfv2.pdf","Fishes, unspecified^  5,673","2,244","8,338",NA,"36,340","10,016","4,847  67,458","47",NA,"610","10","118","55","840"
2003,"landings03_cpfv2.pdf","Flatfishes, unspecified^  35","11","148",NA,"180","89","54  517","1,375",NA,"17,058","249","1,505","3","20,190"
2003,"landings03_cpfv2.pdf","Greenling, kelp  0","0","0",NA,"0","0","0  0","169",NA,"457","1,107","1,916","1,558","5,207"
2003,"landings03_cpfv2.pdf","Halibut, California  306","671","360",NA,"1,093","1,340","989  4,759","39",NA,"382","195","10,960","0","11,576"
2003,"landings03_cpfv2.pdf","Invertebrates, unspecified^^  523","0","0",NA,"3,942","8","18,892  23,365","0",NA,"437","5,649","8,936","10,999","26,021"
2003,"landings03_cpfv2.pdf","Lingcod  7,690","133","169",NA,"1,756","458","3,299  13,505","4,420",NA,"3,128","6,965","12,070","4,036","30,619"
2003,"landings03_cpfv2.pdf","Mackerel, jack  155","47","107",NA,"390","0","0  699","1",NA,"35","0","1","3","40"
2003,"landings03_cpfv2.pdf","Mackerel, Pacific  14,034","15,176","2,991",NA,"4,947","5,634","1,779  44,561","0",NA,"24","1","11","0","36"
2003,"landings03_cpfv2.pdf","Other highly migratory spp^^^  80,476","1,911","1,714",NA,"3,488","0","98  87,687","81",NA,"14","8","2","2","107"
2003,"landings03_cpfv2.pdf","Rockfish, blue  123","5","0",NA,"80","80","7,609  7,897","28,880",NA,"41,448","25,954","13,026","16,127","125,435"
2003,"landings03_cpfv2.pdf","Rockfish, canary  910","190","1",NA,"13","0","156  1,270","2",NA,"10","15","82","157","266"
2003,"landings03_cpfv2.pdf","Rockfish, copper  136","33","1",NA,"45","68","5,765  6,048","304",NA,"3,397","892","1,806","515","6,914"
2003,"landings03_cpfv2.pdf","Rockfish, gopher  267","9","1",NA,"2","1","969  1,249","14,564",NA,"11,738","7,528","3,302","2,033","39,165"
2003,"landings03_cpfv2.pdf","Rockfish, yelloweye  19","0","0",NA,"44","0","50  113","70",NA,"68","3","120","27","288"
2003,"landings03_cpfv2.pdf","Rockfishes, unspecified^  51,401","5,501","4,187",NA,"24,160","20,892","79,259  185,400","66,690",NA,"30,504","42,469","55,972","27,216","222,851"
2003,"landings03_cpfv2.pdf","Salmon, king (chinook)  0","1","0",NA,"0","0","0  1","10",NA,"4,007","7,852","24,813","5,805","42,487"
