"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","EXVESSEL_REVENUE","LANDED_WEIGHT_PPP","LANDED_WEIGHT_MTONS","CONFIDENTIAL_FLAG"
"1997","AT-SEA","CPEL","WETF","CHUB MACKEREL","CMCK",0,0,10.2,""
"1997","AT-SEA","CPEL","WETF","JACK MACKEREL","JMCK",0,0,4,""
"1997","AT-SEA","GRND","MGRN","SPINY DOGFISH","DSRK",,,,"*"
"1997","AT-SEA","GRND","ROCK","AURORA ROCKFISH","ARRA",,,,"*"
"1997","AT-SEA","GRND","ROCK","BOCACCIO","BCAC",,,,"*"
"1997","AT-SEA","GRND","ROCK","CHILIPEPPER ROCKFISH","CLPR",,,,"*"
"1997","AT-SEA","GRND","ROCK","CANARY ROCKFISH","CNRY",0,0,.2,""
"1997","AT-SEA","GRND","ROCK","DARKBLOTCHED ROCKFISH","DBRK",0,0,.1,""
"1997","AT-SEA","GRND","ROCK","GREENSTRIPED ROCKFISH","GSRK",0,0,0,""
"1997","AT-SEA","GRND","ROCK","PACIFIC OCEAN PERCH","POP",0,0,.5,""
"1997","AT-SEA","GRND","ROCK","REDSTRIPE ROCKFISH","REDS",,,,"*"
"1997","AT-SEA","GRND","ROCK","ROUGHEYE ROCKFISH","REYE",0,0,.2,""
"1997","AT-SEA","GRND","ROCK","SHORTBELLY ROCKFISH","SBLY",0,0,.2,""
"1997","AT-SEA","GRND","ROCK","SPLITNOSE ROCKFISH","SNOS",0,0,0,""
"1997","AT-SEA","GRND","ROCK","SHORTSPINE THORNYHEAD","SSPN",0,0,.1,""
"1997","AT-SEA","GRND","ROCK","UNSP. ROCKFISH","URCK",0,0,0,""
"1997","AT-SEA","GRND","ROCK","WIDOW ROCKFISH","WDOW",0,0,3.4,""
"1997","AT-SEA","GRND","ROCK","YELLOWTAIL ROCKFISH","YTRK",0,0,4.7,""
"1997","AT-SEA","GRND","ROND","LINGCOD","LCOD",,,,"*"
"1997","AT-SEA","GRND","ROND","WALLEYE POLLOCK","PLCK",0,0,0,""
"1997","AT-SEA","GRND","ROND","PACIFIC WHITING","PWHT",13949145,.04,143005.7,""
"1997","AT-SEA","GRND","ROND","SABLEFISH","SABL",0,0,0,""
"1997","AT-SEA","OTHR","....","MISC. FISH/ANIMALS","MISC",0,0,0,""
"1997","AT-SEA","OTHR","....","MOLA/OCEAN SUNFISH","MOLA",,,,"*"
"1997","AT-SEA","OTHR","....","MISC. FISH","MSC2",,,,"*"
"1997","AT-SEA","OTHR","....","UNSP. OCTOPUS","OCTP",0,0,0,""
"1997","AT-SEA","OTHR","....","UNSP. SHAD","SHAD",0,0,0,""
"1997","AT-SEA","OTHR","....","UNSP. SQUID","SQID",0,0,.3,""
"1997","AT-SEA","XXXX","","WITHHELD FOR CONFIDENTIALITY**","",0,,3.7,""
"1998","AT-SEA","CPEL","WETF","CHUB MACKEREL","CMCK",0,0,84.9,""
"1998","AT-SEA","CPEL","WETF","JACK MACKEREL","JMCK",0,0,59.3,""
"1998","AT-SEA","CPEL","WETF","PACIFIC SARDINE","PSDN",0,0,1.5,""
"1998","AT-SEA","GRND","FLAT","ARROWTOOTH FLOUNDER","ARTH",0,0,.2,""
"1998","AT-SEA","GRND","FLAT","DOVER SOLE","DOVR",,,,"*"
"1998","AT-SEA","GRND","FLAT","REX SOLE","REX",0,0,.2,""
"1998","AT-SEA","GRND","FLAT","ROCK SOLE","RSOL",,,,"*"
"1998","AT-SEA","GRND","FLAT","SLENDER SOLE","SLNS",,,,"*"
"1998","AT-SEA","GRND","MGRN","SPINY DOGFISH","DSRK",0,0,42.5,""
"1998","AT-SEA","GRND","MGRN","UNSP. GRENADIERS","GRDR",,,,"*"
"1998","AT-SEA","GRND","ROCK","BOCACCIO","BCAC",,,,"*"
"1998","AT-SEA","GRND","ROCK","CHILIPEPPER ROCKFISH","CLPR",,,,"*"
"1998","AT-SEA","GRND","ROCK","CANARY ROCKFISH","CNRY",0,0,.4,""
"1998","AT-SEA","GRND","ROCK","DARKBLOTCHED ROCKFISH","DBRK",0,0,2.5,""
"1998","AT-SEA","GRND","ROCK","GREENSTRIPED ROCKFISH","GSRK",,,,"*"
"1998","AT-SEA","GRND","ROCK","HARLEQUIN ROCKFISH","HLQN",,,,"*"
"1998","AT-SEA","GRND","ROCK","PACIFIC OCEAN PERCH","POP",0,0,2.8,""
"1998","AT-SEA","GRND","ROCK","REDSTRIPE ROCKFISH","REDS",,,,"*"
"1998","AT-SEA","GRND","ROCK","ROUGHEYE ROCKFISH","REYE",0,0,5.2,""
"1998","AT-SEA","GRND","ROCK","SHORTBELLY ROCKFISH","SBLY",,,,"*"
"1998","AT-SEA","GRND","ROCK","SHARPCHIN ROCKFISH","SHRP",,,,"*"
"1998","AT-SEA","GRND","ROCK","SILVERGRAY ROCKFISH","SLGR",,,,"*"
"1998","AT-SEA","GRND","ROCK","SPLITNOSE ROCKFISH","SNOS",0,0,2.2,""
"1998","AT-SEA","GRND","ROCK","SHORTRAKER ROCKFISH","SRKR",,,,"*"
"1998","AT-SEA","GRND","ROCK","SHORTSPINE THORNYHEAD","SSPN",,,,"*"
"1998","AT-SEA","GRND","ROCK","UNSP. ROCKFISH","URCK",,,,"*"
"1998","AT-SEA","GRND","ROCK","VERMILION ROCKFISH","VRML",,,,"*"
"1998","AT-SEA","GRND","ROCK","WIDOW ROCKFISH","WDOW",0,0,66.9,""
"1998","AT-SEA","GRND","ROCK","YELLOWMOUTH ROCKFISH","YMTH",,,,"*"
"1998","AT-SEA","GRND","ROCK","YELLOWTAIL ROCKFISH","YTRK",0,0,91,""
"1998","AT-SEA","GRND","ROND","LINGCOD","LCOD",,,,"*"
"1998","AT-SEA","GRND","ROND","PACIFIC WHITING","PWHT",8991585,.03,143297.4,""
"1998","AT-SEA","GRND","ROND","SABLEFISH","SABL",0,0,16.7,""
"1998","AT-SEA","OTHR","....","MISC. FISH/ANIMALS","MISC",0,0,2.8,""
"1998","AT-SEA","OTHR","....","MISC. FISH","MSC2",0,0,3.2,""
"1998","AT-SEA","OTHR","....","UNSP. OCTOPUS","OCTP",,,,"*"
"1998","AT-SEA","OTHR","....","OTHER SHARK","OSRK",,,,"*"
"1998","AT-SEA","OTHR","....","PACIFIC POMFRET","POMF",,,,"*"
"1998","AT-SEA","OTHR","....","UNSP. SHAD","SHAD",0,0,15,""
"1998","AT-SEA","OTHR","....","UNSP. SMELT","SMLT",,,,"*"
"1998","AT-SEA","OTHR","....","UNSP. SQUID","SQID",0,0,22.4,""
"1998","AT-SEA","OTHR","....","UNSP. SHARK","USRK",,,,"*"
"1998","AT-SEA","XXXX","","WITHHELD FOR CONFIDENTIALITY**","",0,,16.9,""
"1999","AT-SEA","CPEL","WETF","CHUB MACKEREL","CMCK",0,0,.5,""
"1999","AT-SEA","CPEL","WETF","JACK MACKEREL","JMCK",0,0,32.6,""
"1999","AT-SEA","CPEL","WETF","PACIFIC SARDINE","PSDN",,,,"*"
"1999","AT-SEA","GRND","FLAT","ARROWTOOTH FLOUNDER","ARTH",0,0,1.4,""
"1999","AT-SEA","GRND","FLAT","ENGLISH SOLE","EGLS",,,,"*"
"1999","AT-SEA","GRND","FLAT","FLATHEAD SOLE","FSOL",,,,"*"
"1999","AT-SEA","GRND","FLAT","PACIFIC SANDDAB","PDAB",,,,"*"
"1999","AT-SEA","GRND","FLAT","REX SOLE","REX",,,,"*"
"1999","AT-SEA","GRND","MGRN","SPINY DOGFISH","DSRK",0,0,33.9,""
"1999","AT-SEA","GRND","MGRN","UNSP. SKATE","USKT",,,,"*"
"1999","AT-SEA","GRND","ROCK","BOCACCIO","BCAC",,,,"*"
"1999","AT-SEA","GRND","ROCK","BLACK ROCKFISH","BLCK",,,,"*"
"1999","AT-SEA","GRND","ROCK","CANARY ROCKFISH","CNRY",0,0,3.9,""
"1999","AT-SEA","GRND","ROCK","DARKBLOTCHED ROCKFISH","DBRK",0,0,3.9,""
"1999","AT-SEA","GRND","ROCK","GREENSTRIPED ROCKFISH","GSRK",,,,"*"
"1999","AT-SEA","GRND","ROCK","PACIFIC OCEAN PERCH","POP",0,0,2.8,""
"1999","AT-SEA","GRND","ROCK","REDSTRIPE ROCKFISH","REDS",0,0,3.5,""
"1999","AT-SEA","GRND","ROCK","ROUGHEYE ROCKFISH","REYE",0,0,1.4,""
"1999","AT-SEA","GRND","ROCK","SHORTBELLY ROCKFISH","SBLY",,,,"*"
"1999","AT-SEA","GRND","ROCK","SHARPCHIN ROCKFISH","SHRP",,,,"*"
"1999","AT-SEA","GRND","ROCK","SILVERGRAY ROCKFISH","SLGR",,,,"*"
"1999","AT-SEA","GRND","ROCK","SPLITNOSE ROCKFISH","SNOS",,,,"*"
"1999","AT-SEA","GRND","ROCK","SHORTRAKER ROCKFISH","SRKR",,,,"*"
"1999","AT-SEA","GRND","ROCK","SHORTSPINE THORNYHEAD","SSPN",,,,"*"
"1999","AT-SEA","GRND","ROCK","UNSP. ROCKFISH","URCK",,,,"*"
"1999","AT-SEA","GRND","ROCK","WIDOW ROCKFISH","WDOW",0,0,42,""
"1999","AT-SEA","GRND","ROCK","YELLOWTAIL ROCKFISH","YTRK",0,0,429.1,""
"1999","AT-SEA","GRND","ROND","LINGCOD","LCOD",,,,"*"
"1999","AT-SEA","GRND","ROND","PACIFIC COD","PCOD",0,0,0,""
"1999","AT-SEA","GRND","ROND","WALLEYE POLLOCK","PLCK",0,0,70.9,""
"1999","AT-SEA","GRND","ROND","PACIFIC WHITING","PWHT",12344931,.04,139994.1,""
"1999","AT-SEA","GRND","ROND","SABLEFISH","SABL",0,0,.7,""
"1999","AT-SEA","OTHR","....","MISC. FISH/ANIMALS","MISC",0,0,30.4,""
"1999","AT-SEA","OTHR","....","MISC. FISH","MSC2",0,0,3.3,""
"1999","AT-SEA","OTHR","....","OTHER SHARK","OSRK",,,,"*"
"1999","AT-SEA","OTHR","....","UNSP. SHAD","SHAD",0,0,172.4,""
"1999","AT-SEA","OTHR","....","UNSP. SQUID","SQID",0,0,16.7,""
"1999","AT-SEA","XXXX","","WITHHELD FOR CONFIDENTIALITY**","",0,,8.4,""
"2000","AT-SEA","CPEL","WETF","CHUB MACKEREL","CMCK",0,0,9.9,""
"2000","AT-SEA","CPEL","WETF","JACK MACKEREL","JMCK",0,0,18.3,""
"2000","AT-SEA","CPEL","WETF","PACIFIC SARDINE","PSDN",,,,"*"
"2000","AT-SEA","GRND","....","PACIFIC GRENADIER","GREN",,,,"*"
"2000","AT-SEA","GRND","FLAT","ARROWTOOTH FLOUNDER","ARTH",0,0,3.4,""
"2000","AT-SEA","GRND","FLAT","DOVER SOLE","DOVR",0,0,.2,""
"2000","AT-SEA","GRND","FLAT","ENGLISH SOLE","EGLS",0,0,0,""
"2000","AT-SEA","GRND","FLAT","FLATHEAD SOLE","FSOL",0,0,.1,""
"2000","AT-SEA","GRND","FLAT","OTHER FLATFISH","OFLT",,,,"*"
"2000","AT-SEA","GRND","FLAT","PACIFIC SANDDAB","PDAB",0,0,.5,""
"2000","AT-SEA","GRND","FLAT","REX SOLE","REX",0,0,1.5,""
"2000","AT-SEA","GRND","FLAT","ROCK SOLE","RSOL",,,,"*"
"2000","AT-SEA","GRND","FLAT","SLENDER SOLE","SLNS",,,,"*"
"2000","AT-SEA","GRND","FLAT","SAND SOLE","SSOL",,,,"*"
"2000","AT-SEA","GRND","FLAT","UNSP. FLATFISH","UFLT",0,0,.4,""
"2000","AT-SEA","GRND","MGRN","SPINY DOGFISH","DSRK",0,0,4.3,""
"2000","AT-SEA","GRND","MGRN","UNSP. GRENADIERS","GRDR",0,0,.3,""
"2000","AT-SEA","GRND","MGRN","SOUPFIN SHARK","SSRK",,,,"*"
"2000","AT-SEA","GRND","MGRN","UNSP. SKATE","USKT",,,,"*"
"2000","AT-SEA","GRND","ROCK","BANK ROCKFISH","BANK",,,,"*"
"2000","AT-SEA","GRND","ROCK","BOCACCIO","BCAC",0,0,.4,""
"2000","AT-SEA","GRND","ROCK","BLACK ROCKFISH","BLCK",,,,"*"
"2000","AT-SEA","GRND","ROCK","CANARY ROCKFISH","CNRY",0,0,1.4,""
"2000","AT-SEA","GRND","ROCK","DARKBLOTCHED ROCKFISH","DBRK",0,0,2.9,""
"2000","AT-SEA","GRND","ROCK","GREENSTRIPED ROCKFISH","GSRK",,,,"*"
"2000","AT-SEA","GRND","ROCK","LONGSPINE THORNYHEAD","LSPN",,,,"*"
"2000","AT-SEA","GRND","ROCK","PACIFIC OCEAN PERCH","POP",0,0,2.3,""
"2000","AT-SEA","GRND","ROCK","REDBANDED ROCKFISH","RDBD",,,,"*"
"2000","AT-SEA","GRND","ROCK","REDSTRIPE ROCKFISH","REDS",0,0,.7,""
"2000","AT-SEA","GRND","ROCK","ROUGHEYE ROCKFISH","REYE",0,0,45.8,""
"2000","AT-SEA","GRND","ROCK","SHORTBELLY ROCKFISH","SBLY",0,0,.7,""
"2000","AT-SEA","GRND","ROCK","SHARPCHIN ROCKFISH","SHRP",0,0,0,""
"2000","AT-SEA","GRND","ROCK","SILVERGRAY ROCKFISH","SLGR",0,0,0,""
"2000","AT-SEA","GRND","ROCK","SPLITNOSE ROCKFISH","SNOS",0,0,10.2,""
"2000","AT-SEA","GRND","ROCK","SHORTRAKER ROCKFISH","SRKR",0,0,.4,""
"2000","AT-SEA","GRND","ROCK","SHORTSPINE THORNYHEAD","SSPN",0,0,14.6,""
"2000","AT-SEA","GRND","ROCK","UNSP. ROCKFISH","URCK",0,0,.8,""
"2000","AT-SEA","GRND","ROCK","WIDOW ROCKFISH","WDOW",0,0,76.9,""
"2000","AT-SEA","GRND","ROCK","YELLOWEYE ROCKFISH","YEYE",,,,"*"
