"source","table","comm_name_orig","comm_name","sci_name","year","landings_n"
"FB 181","Table 7","Tuna, albacore","Albacore tuna","Thunnus alalunga",1987,7046
"FB 181","Table 7","Tuna, albacore","Albacore tuna","Thunnus alalunga",1988,559
"FB 181","Table 7","Tuna, albacore","Albacore tuna","Thunnus alalunga",1989,29728
"FB 181","Table 7","Tuna, albacore","Albacore tuna","Thunnus alalunga",1990,3843
"FB 181","Table 7","Tuna, albacore","Albacore tuna","Thunnus alalunga",1991,1013
"FB 181","Table 7","Tuna, albacore","Albacore tuna","Thunnus alalunga",1992,380
"FB 181","Table 7","Tuna, albacore","Albacore tuna","Thunnus alalunga",1993,393
"FB 181","Table 7","Tuna, albacore","Albacore tuna","Thunnus alalunga",1994,171
"FB 181","Table 7","Tuna, albacore","Albacore tuna","Thunnus alalunga",1995,1555
"FB 181","Table 7","Tuna, albacore","Albacore tuna","Thunnus alalunga",1996,2190
"FB 181","Table 7","Tuna, albacore","Albacore tuna","Thunnus alalunga",1997,91214
"FB 181","Table 7","Tuna, albacore","Albacore tuna","Thunnus alalunga",1998,166298
"FB 181","Table 7","Tuna, albacore","Albacore tuna","Thunnus alalunga",1999,261901
"FB 181","Table 7","All others","All other species","variable spp.",1987,109246
"FB 181","Table 7","All others","All other species","variable spp.",1988,339416
"FB 181","Table 7","All others","All other species","variable spp.",1989,208128
"FB 181","Table 7","All others","All other species","variable spp.",1990,204278
"FB 181","Table 7","All others","All other species","variable spp.",1991,173875
"FB 181","Table 7","All others","All other species","variable spp.",1992,228932
"FB 181","Table 7","All others","All other species","variable spp.",1993,182740
"FB 181","Table 7","All others","All other species","variable spp.",1994,162157
"FB 181","Table 7","All others","All other species","variable spp.",1995,304473
"FB 181","Table 7","All others","All other species","variable spp.",1996,277506
"FB 181","Table 7","All others","All other species","variable spp.",1997,316907
"FB 181","Table 7","All others","All other species","variable spp.",1998,196405
"FB 181","Table 7","All others","All other species","variable spp.",1999,302927
"FB 181","Table 7","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",1987,408798
"FB 181","Table 7","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",1988,455356
"FB 181","Table 7","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",1989,421110
"FB 181","Table 7","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",1990,424774
"FB 181","Table 7","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",1991,495785
"FB 181","Table 7","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",1992,363637
"FB 181","Table 7","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",1993,313462
"FB 181","Table 7","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",1994,285009
"FB 181","Table 7","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",1995,354816
"FB 181","Table 7","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",1996,610988
"FB 181","Table 7","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",1997,496929
"FB 181","Table 7","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",1998,383206
"FB 181","Table 7","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",1999,436998
"FB 181","Table 7","Tuna, bluefin","Bluefin tuna","Thunnus thynnus",1987,1951
"FB 181","Table 7","Tuna, bluefin","Bluefin tuna","Thunnus thynnus",1988,330
"FB 181","Table 7","Tuna, bluefin","Bluefin tuna","Thunnus thynnus",1989,6519
"FB 181","Table 7","Tuna, bluefin","Bluefin tuna","Thunnus thynnus",1990,3756
"FB 181","Table 7","Tuna, bluefin","Bluefin tuna","Thunnus thynnus",1991,5330
"FB 181","Table 7","Tuna, bluefin","Bluefin tuna","Thunnus thynnus",1992,8586
"FB 181","Table 7","Tuna, bluefin","Bluefin tuna","Thunnus thynnus",1993,10535
"FB 181","Table 7","Tuna, bluefin","Bluefin tuna","Thunnus thynnus",1994,2243
"FB 181","Table 7","Tuna, bluefin","Bluefin tuna","Thunnus thynnus",1995,16025
"FB 181","Table 7","Tuna, bluefin","Bluefin tuna","Thunnus thynnus",1996,2739
"FB 181","Table 7","Tuna, bluefin","Bluefin tuna","Thunnus thynnus",1997,8338
"FB 181","Table 7","Tuna, bluefin","Bluefin tuna","Thunnus thynnus",1998,20467
"FB 181","Table 7","Tuna, bluefin","Bluefin tuna","Thunnus thynnus",1999,36797
"FB 181","Table 7","Cabezon","Cabezon","Scorpaenichthys marmoratus",1987,4775
"FB 181","Table 7","Cabezon","Cabezon","Scorpaenichthys marmoratus",1988,5451
"FB 181","Table 7","Cabezon","Cabezon","Scorpaenichthys marmoratus",1989,6353
"FB 181","Table 7","Cabezon","Cabezon","Scorpaenichthys marmoratus",1990,6753
"FB 181","Table 7","Cabezon","Cabezon","Scorpaenichthys marmoratus",1991,4575
"FB 181","Table 7","Cabezon","Cabezon","Scorpaenichthys marmoratus",1992,5203
"FB 181","Table 7","Cabezon","Cabezon","Scorpaenichthys marmoratus",1993,2812
"FB 181","Table 7","Cabezon","Cabezon","Scorpaenichthys marmoratus",1994,1890
"FB 181","Table 7","Cabezon","Cabezon","Scorpaenichthys marmoratus",1995,2120
"FB 181","Table 7","Cabezon","Cabezon","Scorpaenichthys marmoratus",1996,3785
"FB 181","Table 7","Cabezon","Cabezon","Scorpaenichthys marmoratus",1997,3422
"FB 181","Table 7","Cabezon","Cabezon","Scorpaenichthys marmoratus",1998,2682
"FB 181","Table 7","Cabezon","Cabezon","Scorpaenichthys marmoratus",1999,3048
"FB 181","Table 7","Barracuda, California","California barracuda","Sphyraena argentea",1987,157920
"FB 181","Table 7","Barracuda, California","California barracuda","Sphyraena argentea",1988,148620
"FB 181","Table 7","Barracuda, California","California barracuda","Sphyraena argentea",1989,137222
"FB 181","Table 7","Barracuda, California","California barracuda","Sphyraena argentea",1990,197597
"FB 181","Table 7","Barracuda, California","California barracuda","Sphyraena argentea",1991,177418
"FB 181","Table 7","Barracuda, California","California barracuda","Sphyraena argentea",1992,248200
"FB 181","Table 7","Barracuda, California","California barracuda","Sphyraena argentea",1993,203702
"FB 181","Table 7","Barracuda, California","California barracuda","Sphyraena argentea",1994,266755
"FB 181","Table 7","Barracuda, California","California barracuda","Sphyraena argentea",1995,333030
"FB 181","Table 7","Barracuda, California","California barracuda","Sphyraena argentea",1996,276075
"FB 181","Table 7","Barracuda, California","California barracuda","Sphyraena argentea",1997,340347
"FB 181","Table 7","Barracuda, California","California barracuda","Sphyraena argentea",1998,456796
"FB 181","Table 7","Barracuda, California","California barracuda","Sphyraena argentea",1999,388923
"FB 181","Table 7","Halibut, California","California halibut","Paralichthys californicus",1987,7572
"FB 181","Table 7","Halibut, California","California halibut","Paralichthys californicus",1988,12001
"FB 181","Table 7","Halibut, California","California halibut","Paralichthys californicus",1989,9116
"FB 181","Table 7","Halibut, California","California halibut","Paralichthys californicus",1990,6678
"FB 181","Table 7","Halibut, California","California halibut","Paralichthys californicus",1991,5984
"FB 181","Table 7","Halibut, California","California halibut","Paralichthys californicus",1992,4343
"FB 181","Table 7","Halibut, California","California halibut","Paralichthys californicus",1993,5335
"FB 181","Table 7","Halibut, California","California halibut","Paralichthys californicus",1994,7528
"FB 181","Table 7","Halibut, California","California halibut","Paralichthys californicus",1995,19957
"FB 181","Table 7","Halibut, California","California halibut","Paralichthys californicus",1996,20619
"FB 181","Table 7","Halibut, California","California halibut","Paralichthys californicus",1997,16480
"FB 181","Table 7","Halibut, California","California halibut","Paralichthys californicus",1998,12332
"FB 181","Table 7","Halibut, California","California halibut","Paralichthys californicus",1999,14939
"FB 181","Table 7","Scorpionfish, California","California scorpionfish","Scorpaena guttata",1987,59179
"FB 181","Table 7","Scorpionfish, California","California scorpionfish","Scorpaena guttata",1988,132775
"FB 181","Table 7","Scorpionfish, California","California scorpionfish","Scorpaena guttata",1989,163552
"FB 181","Table 7","Scorpionfish, California","California scorpionfish","Scorpaena guttata",1990,161861
"FB 181","Table 7","Scorpionfish, California","California scorpionfish","Scorpaena guttata",1991,181790
"FB 181","Table 7","Scorpionfish, California","California scorpionfish","Scorpaena guttata",1992,77356
"FB 181","Table 7","Scorpionfish, California","California scorpionfish","Scorpaena guttata",1993,69833
"FB 181","Table 7","Scorpionfish, California","California scorpionfish","Scorpaena guttata",1994,90574
"FB 181","Table 7","Scorpionfish, California","California scorpionfish","Scorpaena guttata",1995,95737
"FB 181","Table 7","Scorpionfish, California","California scorpionfish","Scorpaena guttata",1996,125412
"FB 181","Table 7","Scorpionfish, California","California scorpionfish","Scorpaena guttata",1997,143473
"FB 181","Table 7","Scorpionfish, California","California scorpionfish","Scorpaena guttata",1998,119417
"FB 181","Table 7","Scorpionfish, California","California scorpionfish","Scorpaena guttata",1999,227212
"FB 181","Table 7","Sheephead, California","California sheephead","Semicossyphus pulcher",1987,21146
"FB 181","Table 7","Sheephead, California","California sheephead","Semicossyphus pulcher",1988,32060
"FB 181","Table 7","Sheephead, California","California sheephead","Semicossyphus pulcher",1989,23612
"FB 181","Table 7","Sheephead, California","California sheephead","Semicossyphus pulcher",1990,34732
"FB 181","Table 7","Sheephead, California","California sheephead","Semicossyphus pulcher",1991,43158
"FB 181","Table 7","Sheephead, California","California sheephead","Semicossyphus pulcher",1992,25785
"FB 181","Table 7","Sheephead, California","California sheephead","Semicossyphus pulcher",1993,26910
"FB 181","Table 7","Sheephead, California","California sheephead","Semicossyphus pulcher",1994,19922
"FB 181","Table 7","Sheephead, California","California sheephead","Semicossyphus pulcher",1995,30434
"FB 181","Table 7","Sheephead, California","California sheephead","Semicossyphus pulcher",1996,30976
"FB 181","Table 7","Sheephead, California","California sheephead","Semicossyphus pulcher",1997,31196
"FB 181","Table 7","Sheephead, California","California sheephead","Semicossyphus pulcher",1998,20610
"FB 181","Table 7","Sheephead, California","California sheephead","Semicossyphus pulcher",1999,26498
"FB 181","Table 7","Bass, kelp","Kelp bass","Paralabrax clathratus",1987,326240
"FB 181","Table 7","Bass, kelp","Kelp bass","Paralabrax clathratus",1988,325037
"FB 181","Table 7","Bass, kelp","Kelp bass","Paralabrax clathratus",1989,393892
"FB 181","Table 7","Bass, kelp","Kelp bass","Paralabrax clathratus",1990,442062
