"source","table","year","anglers_n"
"FB 181","Table 7",1987,677377
"FB 181","Table 7",1988,711106
"FB 181","Table 7",1989,737448
"FB 181","Table 7",1990,768890
"FB 181","Table 7",1991,661406
"FB 181","Table 7",1992,635325
"FB 181","Table 7",1993,592744
"FB 181","Table 7",1994,582296
"FB 181","Table 7",1995,691095
"FB 181","Table 7",1996,711323
"FB 181","Table 7",1997,872653
"FB 181","Table 7",1998,766152
"FB 181","Table 7",1999,723210
