"source","table","year","port_complex","category","comm_name_orig","presentation","landings_lb","landings_kg","value_usd"
"FB 181","Table 5a",1987,"Bodega Bay","Crustaceans","Crab, claws","claws",21,9.5254409877748,16
"FB 181","Table 5a",1987,"Bodega Bay","Crustaceans","Crab, Dungeness","whole",907506,411637.849954836,1310311
"FB 181","Table 5a",1987,"Bodega Bay","Crustaceans","Crab, rock unspecified","whole",3885,1762.20658273834,3454
"FB 181","Table 5a",1987,"Bodega Bay","Crustaceans","Shrimp, bay","whole",13622,6178.83605406992,45087
"FB 181","Table 5a",1987,"Bodega Bay","Crustaceans","Shrimp, Pacific Ocean","whole",6861,3112.09764843442,4249
"FB 181","Table 5a",1987,"Bodega Bay","Echinoderms","Urchin, red","whole",5713676,2591680.16958406,1069198
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Barracuda, California","whole",28,12.7005879836997,21
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Cabezon","whole",473,214.549218438928,161
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Cod, Pacific","whole",75,34.0194320991957,25
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Croaker, white","whole",2939,1333.10814586048,989
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Fish, unspecified","whole",160,72.5747884782842,98
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Flounder, starry","whole",2277,1032.82995853158,996
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Flounder, unspecified","whole",12306,5581.90841883603,5197
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Halibut, California","whole",6704,3040.88363724011,15610
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Herring, Pacific","whole",1648162,747593.803299662,657347
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Lingcod","whole",109376,49612.1254037551,27237
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Mackerel, unspecified","whole",425,192.776781895442,135
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Opah","whole",203,92.0792628818231,33
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Sablefish","whole",454630,206216.725536765,133241
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Salmon","whole",105937,48052.2210439,323333
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Salmon, Chinook","whole",2339235,1061059.28328749,6501798
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Salmon, coho","whole",4775,2165.90384364879,9826
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Salmon, pink","whole",34,15.4221425516354,28
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Sanddab","whole",9473,4296.88107034242,3465
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Scorpionfish, California","whole",60,27.2155456793566,30
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Shark, bigeye thresher","whole",9,4.08233185190349,2
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Shark, brown smoothhound","whole",246,111.583737285362,82
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Shark, leopard","whole",435,197.312706175335,263
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Shark, Pacific angel","whole",54,24.4939911114209,27
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Shark, shortfin mako","whole",1594,723.026330214906,756
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Shark, soupfin","whole",2896,1313.60367145694,3417
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Shark, spiny dogfish","whole",20,9.07184855978553,3
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Shark, thresher","whole",2327,1055.50957993105,2045
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Shark, unspecified","whole",29955,13587.3611804188,12643
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Sierra, Pacific","whole",52,23.5868062554424,26
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Skate, unspecified","whole",3686,1671.94168956847,1108
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Smelt, night","whole",98,44.4520579429491,49
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Smelt, surf","whole",1496,678.574272271957,499
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Smelt, whitebait","whole",26224,11895.0078315908,8034
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Smelts, true","whole",100,45.3592427989276,30
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Sole, Dover","whole",2642069,1198422.4926252,770906
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Sole, English","whole",195211,88546.2314602146,70722
