"source","table","category","comm_name_orig","comm_name","sci_name","year","presentation","landings_lb","landings_kg","value_usd"
"FB 181","Table 4c","Crustaceans","Shrimp, bay","Bay shrimp","Crangon franciscorum",1987,"not specified",105168,47703.4084667762,257043
"FB 181","Table 4c","Crustaceans","Shrimp, brine","Brine shrimp","Artemia salina",1987,"not specified",96906,43955.8278267288,1431
"FB 181","Table 4c","Crustaceans","Crab, box","Brown box crab","Lopholithodes foraminatus",1987,"not specified",130,58.9670156386059,88
"FB 181","Table 4c","Crustaceans","Lobster, California spiny","California spiny lobster","Panulirus interruptus",1987,"not specified",449488,203884.353272044,2131972
"FB 181","Table 4c","Crustaceans","Prawn, spot","California spot prawn","Pandalus platyceros",1987,"not specified",88500,40142.929877051,417515
"FB 181","Table 4c","Crustaceans","Shrimp, coonstriped","Coonstriped shrimp","Pandalus danae",1987,"not specified",2301,1043.71617680332,7478
"FB 181","Table 4c","Crustaceans","Crab, claws","Crab","Brachyura spp.",1987,"claws",82931,37616.8736455787,47536
"FB 181","Table 4c","Crustaceans","Crustacean, unspecified","Crustacean","Crustacea spp.",1987,"not specified",67,30.3906926752815,3790
"FB 181","Table 4c","Crustaceans","Crab, Dungeness","Dungeness crab","Metacarcinus magister",1987,"not specified",6857070,3110315.03019243,9715352
"FB 181","Table 4c","Crustaceans","Shrimp, ghost","Ghost shrimp","Neotrypaea californiensis",1987,"not specified",55,24.9475835394102,346
"FB 181","Table 4c","Crustaceans","Crab, king","King crab","Paralithodes spp.",1987,"not specified",138,62.5957550625201,116
"FB 181","Table 4c","Crustaceans","Shrimp, Pacific Ocean","Ocean (pink) shrimp","Pandalus jordani",1987,"not specified",8023388,3639348.04362002,5441155
"FB 181","Table 4c","Crustaceans","Shrimp, red rock","Red rock shrimp","Lysmata californica",1987,"not specified",254,115.212476709276,1879
"FB 181","Table 4c","Crustaceans","Prawn, ridgeback","Ridgeback prawn","Sicyonia ingentis",1987,"not specified",241857,109704.503856202,296219
"FB 181","Table 4c","Crustaceans","Crab, rock unspecified","Rock crab","Cancer spp.",1987,"not specified",1567101,710825.147494423,1480488
"FB 181","Table 4c","Crustaceans","Crab, sand","Sand crab","Emerita analoga",1987,"not specified",50,22.6796213994638,60
"FB 181","Table 4c","Crustaceans","Crab, spider","Sheep crab","Loxorhynchus grandis",1987,"not specified",99546,45153.3118366205,49997
"FB 181","Table 4c","Crustaceans","Crab, shore","Shore crab","Pachygrapsus crassipes",1987,"not specified",8,3.62873942391421,140
"FB 181","Table 4c","Crustaceans","Shrimp, unspecified","Shrimp","Decapoda spp.",1987,"not specified",19866,9011.06717443496,97460
"FB 181","Table 4c","Crustaceans","Crab, tanner","Tanner crab","Chionoecetes bairdi",1987,"not specified",6,2.72155456793566,3
