source,year,n_fishers,n_vessels,n_cpfvs
FB 181 Table 3,1976-77,"14,949","7,268",405
FB 181 Table 3,1977-78,"17,407","8,421",400
FB 181 Table 3,1978-79,"20,298","9,654",425
FB 181 Table 3,1979-80,"19,997","6,635",438
FB 181 Table 3,1980-81,"20,363","9,229",454
FB 181 Table 3,1981-82,"18,862","8,427",441
FB 181 Table 3,1982-83,"19,176","8,173",500
FB 181 Table 3,1983-84,"15,509","8,282",469
FB 181 Table 3,1984-85,"14,457","7,678",462
FB 181 Table 3,1985-86,"14,633","7,188",579
FB 181 Table 3,1986-87,"13,013","6,680",588
FB 181 Table 3,1987-88,"14,458","6,661",593
FB 181 Table 3,1988-89,"15,277","6,710",624
FB 181 Table 3,1989-90,"15,150","6,704",732
FB 181 Table 3,1990-91,"14,565","6,621",728
FB 181 Table 3,1991-92,"14,448","6,744",564
FB 181 Table 3,1992-93,"12,249","6,221",515
FB 181 Table 3,1993-94,"11,393","5,533",375
FB 181 Table 3,1994-95,"11,309","5,577",391
FB 181 Table 3,1995-96,"11,204","5,439",363
FB 181 Table 3,1996-97,"10,796","5,358",354
FB 181 Table 3,1997-98,"9,851","5,018",343
FB 181 Table 3,1998-99,"9,480","4,801",361
FB 181 Table 3,1999-00,"9,108","4,866",384
