"species_group_orig"
"Abulon"
"Algas"
"Almeja"
"Anchoveta"
"Atun"
"Bagre"
"Bandera"
"Baqueta"
"Barrilete"
"Berrugata"
"Besugo"
"Bonito"
"Cabrilla"
"Calamar"
"Camaron"
"Caracol"
"Carpa"
"Cazon"
"Charal"
"Cintilla"
"Corvina"
"Erizo"
"Esmedregal"
"Especie generica"
"Fauna"
"Guachinango"
"Jaiba"
"Jurel"
"Langosta"
"Langostino"
"Lebrancha"
"Lenguado"
"Lisa"
"Lobina"
"Macarela"
"Mero"
"Mojarra"
"Ostion"
"Otras"
"Pampano"
"Pargo"
"Peces de ornato"
"Pepino de mar"
"Peto"
"Pierna"
"Pulpo"
"Raya y similares"
"Robalo"
"Ronco"
"Rubia y villajaiba"
"Rubio"
"Sardina"
"Sargazo"
"Sierra"
"Tiburon"
"Trucha"
