"year","filename","Common.Name","S..Diego","Oceanside","Newport","Seal.Bch","Redondo","P.Hueneme","Southern","Avila.Bch","Monterey","Princeton","S..Fran","Fort.Bragg","Northern.Total"
2014,"Annual CPFV 2.pdf","","Mission","Dana Harbor","Beach","Long Bch","Mr del Rey","Oxnard/Ventura","Total","Morro Bay","Moss Land","Bodega Bay","S.F. Bay- Delta","Eureka",""
2014,"Annual CPFV 2.pdf","","Bay ***","","","S. Pedro","Malibu","S. Barbara","","","S. Cruz","","","Cres City",""
2014,"Annual CPFV 2.pdf","Barracuda, California","7,847","2,044","1,196","9,442","1,167","2,050","23,746","1","0","1","3","0","5"
2014,"Annual CPFV 2.pdf","Bass, barred sand","10,651","4,499","5,002","13,511","5,148","849","39,660","0","0","0","0","0","0"
2014,"Annual CPFV 2.pdf","Bass, kelp (calico)","21,516","17,399","6,923","21,818","4,849","17,792","90,297","0","0","0","0","0","0"
2014,"Annual CPFV 2.pdf","Bass, striped","0","0","0","0","0","0","0","0","0","413","4,967","0","5,380"
2014,"Annual CPFV 2.pdf","Bonito, Pacific","20,548","9,680","16,054","32,635","12,709","4,575","96,201","2","3","0","0","0","5"
2014,"Annual CPFV 2.pdf","Cabezon","116","27","149","287","84","797","1,460","939","46","441","238","644","2,308"
2014,"Annual CPFV 2.pdf","Croaker, white","189","3","4","275","2","107","580","64","30","327","23","0","444"
2014,"Annual CPFV 2.pdf","Fishes, unspecified^","7,877","1,403","13,178","23,871","11,898","8,260","66,487","10","43","13","75","20","161"
2014,"Annual CPFV 2.pdf","Flatfishes, unspecified^","0","67","5","44","50","214","380","41","71","57","121","148","438"
2014,"Annual CPFV 2.pdf","Halibut, California","443","118","111","325","48","968","2,013","1","70","311","1,871","10","2,263"
2014,"Annual CPFV 2.pdf","Invertebrates, unspecified^^","1,765","212","1","4,203","243","12,510","18,934","1,589","20,906","18,804","26,189","22,729","90,217"
2014,"Annual CPFV 2.pdf","Lingcod","2,792","30","174","3,050","925","18,541","25,512","13,118","11,826","8,050","13,772","4,293","51,059"
2014,"Annual CPFV 2.pdf","Mackerel, jack","56","5","70","195","78","3","407","0","0","0","0","0","0"
2014,"Annual CPFV 2.pdf","Mackerel, Pacific","7,680","5,123","4,586","8,932","9,336","4,505","40,162","45","6,775","462","355","0","7,637"
2014,"Annual CPFV 2.pdf","Other highly migratory spp^^^","274,911","11,295","15,745","15,564","289","873","318,677","0","3","0","0","0","3"
2014,"Annual CPFV 2.pdf","Rockfish, blue","322","49","107","1,267","1,371","26,208","29,324","43,368","52,419","35,362","33,900","6,651","171,700"
2014,"Annual CPFV 2.pdf","Rockfish, canary","128","0","0","24","1","183","336","214","22","7","0","0","243"
2014,"Annual CPFV 2.pdf","Rockfish, copper","2,354","442","2,176","2,815","1,200","54,993","63,980","10,450","2,903","3,761","4,983","336","22,433"
2014,"Annual CPFV 2.pdf","Rockfish, gopher","2,398","15","104","92","161","6,956","9,726","26,383","5,024","3,654","2,044","469","37,574"
2014,"Annual CPFV 2.pdf","Rockfishes, unspecified^","89,044","25,122","68,916","160,506","113,479","281,402","738,469","106,423","85,918","80,083","141,607","41,089","455,120"
2014,"Annual CPFV 2.pdf","Sanddab","447","6,887","31,807","129,439","18,107","69,167","255,854","1,695","118,038","3,001","2,238","171","125,143"
2014,"Annual CPFV 2.pdf","Scorpionfish, California","6,222","4,778","41,224","58,020","27,493","2,241","139,978","0","0","0","2","0","2"
2014,"Annual CPFV 2.pdf","Seabass, white","169","103","94","746","21","4,307","5,440","0","0","9","6","0","15"
2014,"Annual CPFV 2.pdf","Shark, unspecified^","18","37","23","114","42","43","277","151","78","101","1,059","3","1,392"
2014,"Annual CPFV 2.pdf","Sheephead, California","2,622","1,705","4,148","16,559","1,948","7,789","34,771","12","2","0","7","0","21"
2014,"Annual CPFV 2.pdf","Tuna, albacore","32","0","0","0","0","7","39","0","0","0","0","20","20"
2014,"Annual CPFV 2.pdf","Whitefish, ocean","4,928","1,718","7,441","21,830","1,706","19,482","57,105","11","23","0","0","0","34"
2014,"Annual CPFV 2.pdf","Yellowtail","126,256","8,592","12,490","21,445","2,530","3,697","175,010","0","0","0","0","0","0"
2014,"Annual CPFV 2.pdf","Total Landings:","591,331","101,353","231,728","547,062","215,266","548,527","2,235,267","204,832","306,834","158,506","250,868","83,141","1,004,181"
2014,"Annual CPFV 2.pdf","Number of Fishers:","132,737","49,210","65,379","91,701","39,036","65,357","443,420","23,651","23,941","17,883","50,238","12,565","128,278"
2014,"Annual CPFV 2.pdf","Reporting CPFV's:","120","26","17","63","18","36","280","11","20","29","74","34","168"
