species,all_2014,mexico_2014,all_2013,mexico_2013
"Barracuda, California","24,289","2,017","38,573","4,003"
"Bass, barred sand","39,913",379,"67,889","11,511"
"Bass, giant (black) sea",0,0,0,0
"Bass, kelp (calico)","90,899","3,730","45,221","2,898"
"Bass, striped","5,462",0,"1,173",0
"Bonito, Pacific","96,654","6,186","10,045",375
Cabezon,"3,807",46,"3,603",49
"Croaker, unspecified***",315,1,276,0
"Croaker, white","1,034",23,"1,447",3
Dolphinfish,"22,089","17,281","17,514","15,714"
"Fishes, unspecified***","34,921",714,"19,916",636
"Flatfishes, unspecified***",823,0,"1,461",0
"Greenling, kelp","2,738",0,"1,628",0
Halfmoon,"25,260",62,"30,542",343
"Halibut, California","4,334",206,"3,117",241
"Invertebrates, unspecified****","111,177",2,"116,934",5
Lingcod,"77,071","2,262","62,202","2,856"
"Mackerel, jack",450,54,456,87
"Mackerel, Pacific","48,435",157,"19,162",116
"Marlin, striped",9,6,11,5
"Rockfish, blue","201,975",194,"143,472",286
"Rockfish, gopher","47,388",428,"39,202",998
"Rockfishes, unspecified***","1,287,130","25,339","1,518,345","47,019"
"Salmon, king (Chinook)","28,127",0,"40,289",0
"Salmon, unspecified***",13,0,62,0
Sanddab,"381,961",80,"271,751",445
"Scorpionfish, California","140,263","1,990","195,262","7,467"
"Seabass, white","5,520",120,"4,914",243
"Shark, blue",4,0,9,0
"Shark, bonito (mako)",158,3,128,8
"Shark, leopard",766,0,534,0
"Shark, unspecified***",807,0,606,1
"Sheephead, California","34,872",664,"32,384",775
"Sturgeon, unspecified***",13,0,134,0
"Tuna, albacore",95,0,"2,855",23
"Tuna, bluefin","26,311","7,851","63,702","57,229"
"Tuna, skipjack","16,028","3,396","1,058",999
"Tuna, yellowfin","255,034","147,207","54,251","50,772"
Wahoo,"6,178","6,170","6,065","6,065"
"Whitefish, ocean","57,304","3,397","62,419","8,299"
Yellowtail,"176,023","104,177","170,685","149,201"
Total Landings:,"3,255,650","334,142","3,049,297","368,672"
Number of Fishers:,"575,795","37,042","543,134","59,781"
Reporting CPFV's,406,91,357,96
